id;description;c2a
1035137076524715;Nö;FALSE
982657661772657;Und so wird das hier auch bald kommen wenn desillusionierte Menschen anfangen nicht mehr zu fragen sondern sich es nehmen.So etwas passiert wenn jemand aus seinem sicheren Versteck ruft Kommt alle zu uns hier ist Geld und Arbeit für alle da.Fr.Merkel sie und ihre Nordatlantikbagage haben ein Feuer entfacht was sich so einfach nicht mehr löschen lässt.Gegen ihnen und ihre ganze Politikerbrut sollte man Anzeige wegen Kriegsverbrechen Verrat an Deutschland und die EU.Generationen falls es sie noch geben wird werden sie dafür hassen und verfluchen.Ich weiss nicht was man ihnen dafür versprochen oder gegeben hat das sie so etwas ins rollen bringen bzw.brachten Gehen sie endlich das Volk ist durch mit ihnen und ihre Bilderberger Politik;FALSE
1012318952139861;Das wird echt immer schlimmer. Ich habe  die Schnauze soooo voll von diesem ganzen Toleranz und multikulti Dreck!!!!;FALSE
1065006553537767;Grimms Märchen ich lach mich weg, schöne Propaganda für die sogenannten Flüchtlinge die keine sind.;FALSE
968390033199420;Aber du bist noch jung und wirst (leider) auch noch bitter erfahren, was es heisst, vor der Realität die Augen zuzukneifen. Ich gebe dir einen guten Rat mit: fang an dich selbst und unabhängig über das Weltgeschehen zu informieren und zu überprüfen, was man dir so für einen Unsinn eingetrichtert hat. Alles Gute!;TRUE
962349077136849;Thomas Biegel schau in dein postfach unter sonstiges ...;TRUE
888036414568116;"wofuer, eddie. ich bin heute abend einer der gluecklichsten menschen und habe es gebraucht, euch das zu schreiben.
ich muss euch also danken, wenn es euch interessiert.
ok, ich bin schon halb besoffen aber trotzdem.....
bleibt dran, liebe pegida-freunde, ihr koennt was aendern. der FN hat 40 jahre gebraucht. im jahre 2022 gewinnen wir vielleicht die praesidentschaftswahlen.....
Ihr koennt das. ganz sicher.";FALSE
960864720618618;Ahhh ok. Tja..;FALSE
1065860460119043;Ach...Links Grüne Gehirnwäsche nennt man Heute also politische Schulbildung? lol;FALSE
855146891190402;Wahrscheinlich so lange wie du gebraucht hast zu beschließen erstmal nen dummen Spruch zu bringen;FALSE
982684261769997;"Juergen Weidner na dann hoffen ich mal das du biologisch bald abtritts, so das deine Wohnung für refugees frei wird - du kannst auch nachhelfen ;-)";FALSE
1012249678813455;verrätergesindel;FALSE
1055346864503736;Brrrrrrr ! Noch mehr zu uns ?, -, ne, ne, ne !;FALSE
984740701564353;Wir sind keine Nazis, ok? Aber die dürfen uns deutsche anspucken und vergewaltigen oder was.;FALSE
1011532152218541;"...Und 
""Allzu gut ist liederlich!""";FALSE
1057592384279184;Wie viel Security oder ''Sky Marshalls'' sind da eigentlich an Bord vom Flugzeug? Wenn die da völlig ausrasten würden im Flugzeug.;FALSE
862235537148204;Pegida wird nicht  mehr  so sein wie vorher.Ich glaube  nicht das noch so viele Leute  kommen;FALSE
856949121010179;Ohne Antifa bräuchte es maximal 4 Verkerhrspolizisten, die den Teilnehmern den Weg weisen. PEGIDA ist den klugen Weg gegangen , die Demo zu verlegen, weil Gewalt nicht unser Ding ist. Was machen die Antifa-Kids? Genau! Wieder für einen Grosseinsatz der Polizei sorgen. Und Dein Geld ist schon verbrannt. Schon mal auf Griechenland geschaut heute abend? Dagegen sind die Kosten für den Polizeieinsatz heute wirklich Peanuts. Aber das begreifts Du erst wirklich und persönlich, wenn Hartz4 nicht mehr fliesst, weil einfach in Deutschland nichts mehr zum Überweisen da ist.;FALSE
876541075717650;Tod nach german;FALSE
858079557563802;ihr könnt denken ? Halte ich für das Gerücht des Jahrtausends :D Eure vorfahren waren vermutlich die, die wie die fligen hitler hinterher gerannt sind und ihm noch den arsch geküsst haben wärend ihre verwandten ins KZ gesteckt wurde;FALSE
1063805186991237;Ich lach mich kaputt.;FALSE
858307767540981;ich bin selbst antifa;FALSE
968541276517629;"Das stimmt. Empathie und Hilfsbereitschaft kann man nicht und soll man nicht erzwingen... ,auch kann keiner heutige Generationen für irgendetwas verantwortlich machen was mal war und was jetzt durch die Politik ist...
Es zeigt natürlich auch den Charakter , die Werte und die Erziehung eines Menschen, wenn er keine Empathie und Hilfsbreitschaft aufbringen kann. Natürlich darf es sogar egal sein... Aber Hetzen, dass ist das letzte.";FALSE
960973067274450;Jawolllllllll;FALSE
856823811022710;Hab's jetzt in 5 Beiträgen bei der CDU gepostet. ??;FALSE
1088421961196226;hallo deutschland wir brauchen aber 76 sitze um alleine regieren zu koennen aber es wird noch viel passieren das koennte klappen wuensche euch auch viel glueck;FALSE
1107903669248055;Papst wies christliche Flüchtlinge ab und nahm lieber muslimische Familien in den Vatikan ...https://www.unzensuriert.at/content/0020605-Papst-wies-christliche-Fluechtlinge-ab-und-nahm-lieber-muslimische-Familien-den;FALSE
855577487814009;Jedes flirten mit Adolf Hitler oder seinem Gedankengut qualifiziert sich automatisch für Behandlung in der Psychiatrie. Es gibt keinerlei Rechtfertigung für irgendwas was dieser Irre fabriziert hat. Darum ist ein Umgang mit ihm als Karrikatur auch schwer.;FALSE
855110294527395;und solche wie volker sind die ersten die dann jammern wenn es um seinen kragen geht, dann um hilfe rufen;FALSE
856747747696983;Ich habe alles von Anfang bis Ende am Live-Stream verfolgt. Und ich sage von hier aus Hamburg, Danke und Glückwunsch. Eine sehr gute Veranstaltung mit sehr guten Reden und Rednern. Macht bitte weiter so, wir müssen noch viel, viel mehr werden.;FALSE
972123679492722;"Überhaupt wird unsere Sprache so verbogen. Terror ist Unrecht, ist rechter Terror also ""legalisiertes Unrecht"" oder was?";FALSE
952350344803389;Die böse AFD aber auch wieder!;FALSE
882801968424894;So sieht die kulturelle Bereicherung aus.;FALSE
857994174239007;"Alexander 15.4.2015 Friedensvertrag von Brest-Litowsk! :) 70 Jahre sind dann rum ;) .... einer der Gründe warum die Politik jetzt so abdreht und den Flüchtlingsstrom bringt und die Unruhen in der UKRAINIE. Wenn Du nähere Infos möchtest, sag bescheid.";FALSE
857867937584964;Nicht pauschal, sondern gezielt. Lies mal was Henryk Brider schrieb.;TRUE
1056993477672408;Ja und Ratz fatz wieder im Land und das Spiel beginnt von vorn einfach lächerlich ...;FALSE
856936494344775;Das sind von der Regierung in Auftrag gegebene,  taktische Psychospielchen, die von den Redaktionen umgesetzt werden müssen.;FALSE
876313642407060;"Anstatt immer wieder Fachkräfte aus dem Ausland anwerben zu wollen sollten die doch mal
Lieber hergehen und alle hier lebenden die ohne Fachausbildung sind die Möglichkeit geben sich entsprechend auszubilden. Es gibt sehr viele die in ihrer Jugend vieles versäumt haben aufgrund von falschen Freunden etc. die sollte man eher mal auf die richtige Bahn bringen und ne vernünftige Ausbildung anbieten damit die auch mal für sich selbst sorgen können";TRUE
977036685668088;wie sieht das eigentlich mit Wahlrecht und Flüchtlingen aus=)na Prost Mahlzeit!!!!!!!!!!!!!!!!!!!;FALSE
1052384878133268;Von Pegida  ging nie Gewalt  aus.   Das waren und  sind  immer friedliche  Demonstranten.  Die Gewalt  kam immer von den linksautonomen Gruppen;FALSE
857940067577751;http://www.welt.de/politik/deutschland/article136755092/Der-Terror-kann-uns-nichts-anhaben-Von-wegen.html;FALSE
1010840125621077;Ihr seid schlichtweg bescheuert!;FALSE
856791421025949;Diana, haben sie Probleme..... Nur Kriege bringen Leid und Flüchtlinge.;FALSE
856777101027381;Die lügen doch immer!;FALSE
856929774345447;Aussage der Medien, Gegendemonstranten 5000;FALSE
1007142845990805;Bestimmt????????;FALSE
963772956994461;Die tollsten Forderungen die man sich wünschen kann! Danke! Genau das brauchen wir.;FALSE
1012244032147353;Als ob es wirklich so abwegig wäre.;FALSE
857158587655899;Aha....und wenn ein Lehrer mit seinen Schülern auf Klassenfahrt ist, ist er also auch ein Schüler? (schließlich ist das die Mehrheit der Gruppe) ? Unlogisch!;FALSE
855044694533955;"""Mönner baggern wie blööde""";FALSE
1058100587561697;"Hast du schonmal was von Meinungsfreiheit gehört? 

Außerdem wenn Sie sich mit dem Christentum auskennen würden, wüssten Sie das die Religionen fast identisch ist, das heißt einen strenggläubigen Christen könnten sie fast nicht von einem Muslim unterscheiden!";FALSE
1055130271192062;"Helmut Scheller , absolut richtig . In diesen Ländern muss man die Geburtenrate dringend eindämmen . So furchtbar wie das auch klingen mag , aber man kann nicht unkontrolliert sich vermehren wenn man nicht einmal für sich selber sorgen kann . Und da diese Menschen sicher nicht freiwillig verhüten werden , sollte man wirklich entweder erhebliche Strafen verhängen oder eine sterilisitation in Betracht ziehen . 
Sicher ist das sehr sehr schlimm , aber verhungernde Kinder find ich noch viel viel schlimmer !!!";TRUE
1108080079230414;Dreckiges linkes Pack ????;FALSE
1010175809020842;Mußt es ja nicht lesen.;FALSE
935321869839570;Mimi Adli;FALSE
1067325113305911;Jan Haucke, „...Marx ist für mich der Einstein der Gesellschaftswissenschaften...“ Au weia! Halten Sie sich besser von Gesellschaftswissenschaften fern und suchen sich andere Interessengebiete.;TRUE
1056482417723514;"Viktor Orban: Deutsch-türkischer Geheimpakt zur Umsiedlung Hunderttausender Flüchtlinge nach Europa

(..)Ungarns Premierminister prangert den ""deutsch-türkischen Geheimpakt"" an. Deutschland und die Türkei haben eine geheime Abmachung und wollen Hunderttausende Flüchtlinge nach Europa umsiedeln, ist Orban sicher.(..)

http://www.epochtimes.de/politik/europa/viktor-orban-deutsch-tuerkischer-geheimpakt-zur-umsiedlung-hunderttausender-fluechtlinge-nach-europa-a1306062.html";FALSE
972142386157518;Blöd nur,  dass der Besitzer des Labels ein Muslim ist.  Soviel zur Nazimarke.;FALSE
857512580953833;"Ja ganz genau,du hast recht! Ich habe Angst! Von solchen wir ""mir"" lässt du dich auch lang machen??";FALSE
