id;description;dbo
925627200809037;Pegida wird weiter Leben.Wartet mal den Herbst ab.;nothing
1007389215966168;Was hat denn die Bundeswehr mit deutschen Werten zu tun ???????;nothing
1055410877830668;"na, denn man alle herzlich Willkommen: da werden die 8 - 10 Mille gwiß herzlich aufgenommen!!! ;)";nothing
876468302391594;Congrats,PEDIGA. We support you.;nothing
888288854542872;tapfere frau gegen die herrschende mafia;nothing
972622859442804;Die üblichen Verdächtigen der Gutmenschenchose übt sich wieder mal im lärmenden Schweigen. Sie müßen Luft holen um beim nächsten Mal, wenn sich ein Ausgeraubter und verprügelter Eingheimischer beschwert, wieder was von mangelnder Willkommenskultur und  traumatisierten Flüchtlingen zu faseln.;nothing
857431700961921;Sie wurde nicht von Moslems ermordet, sondern von einem Depp der eben Türke und Moslem ist,  der Zweite Täter war übrigens Deutscher. Aber mit solchen Verallgemeinerungen ist die Welt eben sooo einfach. Tausende von deutschen Männern fliegen jedes Jahr nach Thailand um dort...... Und trotzdem bist Du mit deutschen Männern befreundet und beschimpftst sie nicht als Kinderf....? Könnte man ja auch machen, oder?;nothing
982766721761751;Dieser manner werden in nahe zukunft private grosse Hauser besetzen. Dann kugen wir was passiert. Ich werde es geniessen;nothing
935275609844196;"Die haben sicher nur einen neuen ""Lies mich""-Stand geplant... :D";nothing
982647128440377;Wenns so einfach wäre mit einer Waffe :/;nothing
1091875120850910;Hollywood mit echten Leichen!;nothing
856819631023128;Komisch, dass die Pegida-Gegner verbal immer ausfallend und beleidigend werden....;nothing
951880784850345;Diesem Depp kann man verkloppen  und der sagt noch Dankeschön, hahaha  ,meingott ist der hohl;nothing
935258823179208;Über 2m und 160kg? Also wenn das mal kein Fett ist, dann ist sojemand aber eine wirklich saugefährliche Kampfmaschine. In Ketten abführen ist da wirklich sicherer. :-o;nothing
1108317305873358;Haben die Linken wohl eins auf die Fresse bekommen.;nothing
1007311779307245;""" wir bienen Deutschland"" ????????????    bienen????";nothing
963490947022662;Diese Forderungen sind alle zu 100% korrekt und notwendig. Sollte die Politik nicht bald was ändern, dann werden das andere übernehmen. Aber diesmal können sich die Verantwortlichen nicht aus der Affäre ziehen, das haben wir aus der letzten Wende gelernt. Im übrigen ist es egal wo es beginnt, auch wenn ihr im Fersehen ect. nichts über die Zustände in Europa zeigt, das ändert überhaupt nichts!;criticism
