id;description;vio
1056909707680785;Ich lach mich tot!??;nothing
855051097866648;Die ist glaube zu oft gegen die Wand gelaufen. Guck dir mal ihre Nase an Amir Masoumi :D;nothing
857408944297530;Laut Medien 17.500;nothing
857906190914472;http://focusonline.co/15BYJWy;nothing
994269387278151;Na bei so einer geistigen Koryphäe ,wie der Opa, bin ich mir sicher, werden sie das Kacken im Freien und auf einem Friedhof im speziellen, sicher im Laufe ihres Lebens lernen. Ich persönlich würde meinen Enkeln jedoch das Benutzen einer Toilette vermitteln wollen.;nothing
856803584358066;du auch!;nothing
858042304234194;Ich kann mir nicht vorstellen, dass sie wirklich relativieren wollen was passiert ist. Dafür ist es einfach zu schrecklich und steht eigens und allein für sich. Ich denke, dass sie damit darauf aufmerksam machen wollen, dass sie auch Opfer von Gewalt und Terror sind. Dass Muslime nicht nur Täter sind bzw dass man den IS vom Großteil der Mulime trennen muss. Die Mitglieder des IS sind Fanatiker. Wie eine Sekte innerhalb des Islam und diese Spinner wollen ja Moslems, die nicht auf ihrer Seite stehen,  auch töten. Sie können also gar nicht alle gleich sein.;nothing
1111920318846390;...und wenn sie noch so schlecht singen würde (was nicht der Fall ist)...es geht um den Sinn und das Verständnis des Textes!!;nothing
991561197548970;http://de.reuters.com/article/domesticNews/idDEKCN0S012V20151006;nothing
945836095454814;[@IND] ?zepokat : Doch, es ist gerade jetzt sehr wichtig, den Mund aufzumachen. Es bleiben viel zu viele Menschen stumm, obwohl sie genau so denken wie du und ich.;nothing
1010752635629826;... und waren nie etwas Anderes und werden nie was Anderes sein.;nothing
876298015741956;Wir haben selbst genug arbeitlose Fachkräfte.Wie wärs wenn man die erst mal in Lohn u.Brot bringt?;nothing
987827257922364;Soweit geht die bunte Toleranz bei den refugees welcome Tänzer und klatschspasties dann doch nicht!!! Scheinheiliges widerwärtiges und Realitätsfernes untervolk!!!!;nothing
1044161608955595;"Ich muss jetzt mal vorsichtshalber ganz dumm fragen. Ist ""Gutmensch"" jetzt  ein Hasswort, weil es ja von den Staatsmedien zum Unwort des Jahres auserkoren wurde. Nicht das der Bonsai Maas mir deswegen auf die Pelle rückt. Man weiß ja schließlich nie..";nothing
857796620925429;Doch Patriotismus ist rechts! Je nach auslegung mehr oder weniger aber Patriotismus gehört definitiv auf die rechte Seite der Mitte. Wer Nationalstolz groß schreibt wird seine Nation immer über andere Nationen stellen und das ist Nationalsozialismus! Ich sage nicht das die pegida rechtsradikal ist aber rechts ist sie, da gibts keinen zweifel;nothing
1007220009316422;"Diese Fassade kommt in ihrer Häßlichkeit fast an die von Daniel Libeskind im Bundeswehr-Auftrag verschandelte Fassade des Dresdener Militärhistorischen Museums heran. Insofern kann sich die Gutmensch_Innen-Armee gar nicht mal beschweren und dürfte sogar ""ein Stück weit"" Verständnis für diese Aktion der steuerfinanzierten Schlägertrupps des Herrn Maas aufbringen.";nothing
882717521766672;"[@IND]
was meinst du wie egal wir denen sind!diese typen würden uns verrecken lassen,weil wir schweinefleischfressender abschaum sind!
um die kinder in syrien sollte man sich gedanken machen u nicht um diese typen!";nothing
985772704794486;Auch Grüße aus dem Schwabenland, schade das ich nicht dabei sein kann. Weiter so, ich hoffe das es nooooch mehr werden.;nothing
857900957581662;Ulrike ich habs gelesen, hmmm. Es stimmt schon irgendwie, da muß mehr kommen an festen durchschlagenden Argumenten, wie Euro, Bankenkrise, Griechenland u.s.w. von den Rednern. Anderenseits sind die Pegidaleute keine Berufspolitiker, auch zu verstehen. Vorschlag, arbeitet an Hand der Punkteliste ein Konzept aus (Textfassung) und schaut mal bei der AFD nach. Diesen Beitrag, nehmt ihn auseinander und bastelt eine Rede draus. Da steht eigentlich alles drin was Pegida brauch.;nothing
1044262568945499;Scheisse, dann müsst Ihr Druck machen ! Viel Glück dabei ! :-), P.;nothing
1063799113658511;Genau! Und Made in Germany wird wohl in ein paar Jahren nicht mehr  als Gütesiegel verstanden werden.;nothing
1063650763673346;mal bitte das Mopo-Schandfleckbild von gestern drüber legen und dann die Leute zum Nachdenken anregen... :-D;nothing
876252025746555;Nominiert für Spruch des Jahres :-);nothing
876318635739894;"SIE urteilen gerade über mich merken Sie das ? 

 naja klar kein wunder...kennen nicht ein krümel meines lebens der übrigens nichts zur sache tut denn hier herrscht ja wohl offiziell meinungsfreiheit...
Aber so herablassend lasse ich mit mir nicht reden. 
Ich rate Ihnen kommen Sie von Ihrem hohen ross herunter... Distanz-und respektlos aber so nen kommentar posten. Mein beileid. Ehrlich.";nothing
1064300370275052;Umkehrschluss.. Wer nicht total blöd ist- ist rechts..!;nothing
1064413570263732;Kata Mo Ne friedliche Moslempartei? da haben wir schon die Grünen!;nothing
1012242285480861;Wieso klein beigeben ,es heißt seit 581 Jahren Weihnachtsmarkt .sie wollen bei uns leben also müßen sie auch mit unserer Kultur leben und sich uns anpassen Punkt .;nothing
1056509001054189;Raute, Bauch und Brille sind nicht des Volkes Wille!;nothing
983122888392801;"Diese Leute sind doch voll instruiert worden das so zu Handhaben, was soll das erst werden wenn die hier nicht das bekommen was Sie wollen?
Ihr Politiker passt schön auf es wird demnächst etwas knistern im Gebälk.";nothing
1055085407863215;Super Text;nothing
856843357687422;"Finde den Fehler. Ostdeutsche junge Leute und Fachkräfte verlassen ihre Heimat (gewohnte Umgebung, Familien, Freunde), WEIL SIE KEINE ARBEIT FINDEN ! Jetzt braucht Ostdeutschland - trotz immer noch bestehender Arbeitslosigkeit von bis zu 10% - ausländische Fachkräfte??? Für welche Jobs bittschön? Wenn es doch soviel menschenwürdig bezahlte Arbeit gäbe, kämen dann nicht viele wieder gern nach Hause? Und würden nicht die vorhandenen Arbeitslosen gern eine Chance auf einen beruflichen Neustart annehmen, anstatt sich von Ämtern gängeln zu lassen? Oder ist der Ossi immer noch zu aufmüpfig und die Gesellschaft zu homogen? Was kann eine ""Fachkraft"" aus Eritrea, was deutsche Arbeitslose nicht können? Um welchen Mythos geht es hier eigentlich? Mit welchen tollen Angeboten sollen denn die hochqualifizierten Fachkräfte gelockt werden? Absterbende ländliche Regionen? Abgewickelte Betriebe? Sinkende Reallöhne? Wer so gut qualifiziert ist hat mit Sicherheit andere Optionen. Und gering Qualifizierte und Langzeitarbeitslose, die in unserem Land längst als daueralimentierte bildungsferne und schwer vermittelbare Masse abgeschrieben wurden haben wir doch selbst genug. Wenn wir nur einen Bruchteil der Milliarden für Banken- und Eurorettung, Genderforschung, nie fertig werdende Prestigeprojekte und Asylindustrie dafür verwenden würden, unseren eigenen Mitmenschen eine Chance auf ein selbstbestimmtes  Leben und ihre Würde zurückzugeben, bräuchten wir mitnichten eine so tolle Einwanderungspolitik. Aber es ist ja einfacher Millionen Menschen mit Hartz IV und Verblödungsfernsehen ruhig zu stellen. Es ist menschenverachtend. Denen gegenüber die keinen Job finden weil sie zu alt, zu hässlich, zu gering qualifiziert sind. Es ist grausam. Denen gegenüber deren Kinder irgendwo in den alten Bundesländern Arbeit gefunden haben und die ihre Söhne, Töchter und Enkel nur alle paar Monate sehen können. Es ist arrogant. Den eigenen Wählern und Steuerzahlern gegenüber, so einen Blödsinn zu verbreiten, nur weil es irgendeine schön geredete Begründung für diese wahnsinnige Zuwanderungspolitik geben muss. 

http://www.welt.de/politik/deutschland/article136741378/Ostdeutsche-Politiker-wollen-mehr-Einwanderer.html";nothing
1012909225414167;Super geschrieben (y)  Und natürlich wird der Anti-Semitismus durch arabische Fanatiker wie ein Geschwür aufbrechen.;nothing
1066002896771466;"Klaus Aurin Nicht ganz richtig. Wir hatten in den 70er Jahren schon eine rote Regierung, die sich u. a. eine ""Schulreform"" aus dem hohlen Schädel gedrückt haben, nach der man auch Abitur mit Religion und Sport als Prüfungsfach machen konnte. Na, merkt einer was? So was könnte leicht als Mathe-Experte in einer Talkshow sitzen.";nothing
856829684355456;Wir nehmen dich gerne hier auf Willkommen im Tal der bekloppten .;nothing
1124349200936835;Für Demo-Geld ist sich die ANTIFA für nichts zu schade.;nothing
994212013950555;Wer wählt noch CDU CSU ???,;nothing
1123638981007857;Lakaien...;nothing
856765377695220;"Andre Melzer stell dir vor, es gibt durchaus auch Menschen, die eure Parolen von vornherein einfach mal scheiße finden und nicht ""von der 'Lügenpresse' dazu gebracht wurden""....";nothing
858387490866342;Beschimpfen! Nee habe es gerade schon erklärt die  Zuspitzung mit der Banane ist ein Sprachliches Mittel. Aber reicht ja für ihresgleichen um sie zu Provozieren. Bei ihnen setzt der Verstand aus sobald gegen sie Argumentiert wird oder kritische Bemerkungen gemacht werden,bei den meisten zumindest.;nothing
856772684361156;wer hat dir ins´gehirn ´geschissen ??????????????;nothing
945348882170202;"So langsam kommt einiges ans Tageslicht. . . . . 

#PEGIDA #GekommenUmZuBleiben #DresdnerThesen";nothing
982662528438837;Dem Lockruf des Geldes folgen zuerst die Gierigen. Gefolgt von den gewaltätigen Kriminellen und zuletzt von den Hoffnungslosen getriebenen. Und Deutschland läd ein. Merkel hat nun einen weltweiten Bekanntheitsgrad, der wohl kaum zu überbieten ist !;nothing
1124375124267576;Super ????;nothing
894611207243970;"Anne hast recht ,jetzt seh ich es auch ,es waren doch mehr als drei. Hab mich geirrt! ;) :D ;)";nothing
982643061774117;unglaublich.... vor allem was in der Zukunft noch alles abgehen wird;nothing
858008990904192;Ich lebe leider nicht mehr in Deutschland. Aber ich werde meine Eltern befragen und es dir dann mitteilen!;nothing
1007296029308820;Die Zecken nerven einfach nur noch mit ihren Kindergarten Aktionen!;nothing
991257027579387;Wenn ihr jetzt auch noch das Kennedy-Zitat bringt, kann man euch eigentlich nur noch einweisen.;nothing
855052521199839;"http://www.bild.de/regional/dresden/dresden/tausende-dresdner-denken-ermordeten-asylbewerber-in-dresden-39380812.bild.

Jetzt werden viele tausend Dresdner traurig sein, dass es nicht der Böse Bachmann war!";nothing
894985840539840;PR-Gag oder Hirn gestohlen von IS;nothing
1035149799856776;Merci Dresde !;nothing
894900583881699;Was er da macht ist Volksverhetzung.;nothing
857149427656815;Wäre echt cool ja??;nothing
1011554895549600;Angst Angst Angst ....keine Beweise keine Zeugen das ist alles dafür da das wir Angst haben und alles mit uns machen lassen !  Solche Meldungen wurden das ganze Jahr runtergespielt und nun wie von Geisterhand kommen sie jeden durch den Mainstream gerattert ... Hmmm;nothing
857906834247741;"PEGIDA Irland und USA:

 "" I don't want to show my ID because it's against my religion""? 
 This is getting really stupid!

http://www.express.co.uk/news/uk/50071/Sniffer-dogs-offend-Muslims";nothing
857822477589510;"Der Satz "" Pegida demonstriert für Toleranz sie Armleuchter"" ist ein Widerspruch in sich selbst. 6, setzen !";nothing
982752581763165;Aber euch kann man anscheinend nicht belehren..;nothing
1134078093297279;Na was denn nun? Persönlich kennen lernen...oder ne Armlänge Abstand?;nothing
982722861766137;Wenn das so weiter geht mit die Flüchtlinge wird es so wie 1989 werden .;nothing
857430174295407;"Schdühmmd ja...

Hier Maddin, extra für Dich, gestern kam ne neue Ladung Pokale...

https://scontent-b-cdg.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/s720x720/10923756_389372521224206_2432462974689887526_n.jpg?oh=781a3fd763ab60eb0fa42e1b339271b8&oe=556802AB";nothing
1080955801942842;Wir haben eine Glück gehabt! Unsere Ministerpresident ein Patriot, Herr Viktor Orbán!!;nothing
1058120540893035;Naja denkt drüber nach, jeder Mensch hat eine Chance verdient und nur gemeinsam werden wir etwas ändern.;nothing
857335384304886;https://m.facebook.com/story.php?story_fbid=1523645761231970&id=1523294224600457;nothing
1069075413130881;Wahrscheinlich hatte er auch gerade ne Dosis Chrystal Meth intus.;nothing
856822831022808;Sie verdrehen die Tatsachen, anhand Ihrer Bildung sollten Sie das selbst wissen. Danke fürs Gespräch;nothing
1035542386484184;Da geht einem doch das Herz auf;nothing
1057095907662165;Und spätestens im Frühling sind sie wieder mit neuer Identität da.;nothing
857934984244926;[@IND], Bjarne Bauer: Hier springt leider niemand auf eure Pöbeleien an, wenn ihr es auch noch so gerne hättet. Was ihr hier bekommt, ist lediglich unser Mitleid.;nothing
856951301009961;Ich vertraue den Polizei Angaben.;nothing
1063271857044570;Musste lachen, wegen Dresden Drecksvolk. Die medienpropaganda hat Wirkung gezeigt, jetzt sind alle ossis die bösen. Jeder im Osten ist jetzt rechts.;nothing
857211440983947;aha die Integration sollte gelingen, dann hoffe ich mal mit denen zusammen.....wird schon gelle;nothing
1115002988538123;Ich verstehe nur nicht ganz, warum die das machen? Letzten Endes vernichten die sich selbst - und zwar in kürzester Zeit! Sind die so realitätsfern, daß sie das nicht realisieren oder glauben die - im Worst Case würden die Moslems sie an der Macht lassen? Denen muß doch klar sein, daß sie die nächsten sind, die zum Teufel gejagt werden!;nothing
1064991943539228;Mal sehen wann ein Flüchtling Merkels Verstand findet.;nothing
987840444587712;"Ja, da gehören doch eigentlich Flüchtinge hin! Man ist doch so für die Buntheit! Wobei es natürlich keine Menschen sein dürfen, die aufgrund ihres Glaubens und ihrer Kultur vielleicht einen allzu kritischen Blick auf die viel beschworenen ""Werte"" des links-liberalen Westens werfen könnten ...";nothing
862078690497222;https://www.facebook.com/groups/336549693194819/?ref=bookmarks;nothing
1105401812831574;the hope dies last !;nothing
882739298431161;"?? Der schwarze Humor hier, ist zu köstlich!
Aber was soll man machen...das muss raus, sonst beißt man noch in den Tisch, bei dem ganzen Irrsinn hier.";nothing
