
=================================================================
  GermEval 2026 - Subtask 2  |  Ensemble Training
=================================================================
  Device:        cuda
  Augmentierung: both
  4. Modell:     keins
  Ausgabe:       /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-both

  Lade Daten ...
  OK Hauptdaten (train_minimal)   15,853 Zeilen  (train_minimal.csv)
  OK Testdaten (test_minimal)        999 Zeilen  (test_minimal.csv)
  OK LLM-Paraphrasen                 428 Zeilen  (paraphrased.csv)
  OK Grok-Generierungen              592 Zeilen  (generated.csv)  [sep=';']

  Trainingsdaten nach Augmentierung:
    nothing         13,818  ( 81.9%)  ██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
    criticism        1,839  ( 10.9%)  ██████████████████
    agitation          671  (  4.0%)  ██████
    subversive         545  (  3.2%)  █████

  Train: 15,287  |  Val: 1,586  (Val-Set enthaelt keine augmentierten Daten)

  Klassen (4): ['agitation', 'criticism', 'nothing', 'subversive']

  Class Weights:
    agitation       27.65
    criticism       2.16
    nothing         0.29
    subversive      74.31

=================================================================
  STARTE ENSEMBLE-TRAINING (3 Modelle)
=================================================================

─────────────────────────────────────────────────────────────────
  Trainiere: deepset/gbert-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [gbert] Step    40 | Ep 1 | Macro-F1 0.0357 | OK Bestes Modell
  [gbert] Step    80 | Ep 1 | Macro-F1 0.1176 | OK Bestes Modell
  [gbert] Step   120 | Ep 1 | Macro-F1 0.2543 | OK Bestes Modell
  [gbert] Step   160 | Ep 1 | Macro-F1 0.2380 | kein Fortschritt 1/50
  [gbert] Step   200 | Ep 1 | Macro-F1 0.2957 | OK Bestes Modell
  [gbert] Step   240 | Ep 1 | Macro-F1 0.2900 | kein Fortschritt 1/50
  [gbert] Step   280 | Ep 1 | Macro-F1 0.3808 | OK Bestes Modell
  [gbert] Step   320 | Ep 1 | Macro-F1 0.3989 | OK Bestes Modell
  [gbert] Step   360 | Ep 1 | Macro-F1 0.3838 | kein Fortschritt 1/50
  [gbert] Step   400 | Ep 1 | Macro-F1 0.4021 | OK Bestes Modell
  [gbert] Step   440 | Ep 1 | Macro-F1 0.1641 | kein Fortschritt 1/50
  [gbert] Step   480 | Ep 1 | Macro-F1 0.3381 | kein Fortschritt 2/50
  [gbert] Step   520 | Ep 1 | Macro-F1 0.3865 | kein Fortschritt 3/50
  [gbert] Step   560 | Ep 1 | Macro-F1 0.3717 | kein Fortschritt 4/50
  [gbert] Step   600 | Ep 1 | Macro-F1 0.4750 | OK Bestes Modell
  [gbert] Step   640 | Ep 1 | Macro-F1 0.4564 | kein Fortschritt 1/50
  [gbert] Step   680 | Ep 1 | Macro-F1 0.3879 | kein Fortschritt 2/50
  [gbert] Step   720 | Ep 1 | Macro-F1 0.4125 | kein Fortschritt 3/50
  [gbert] Step   760 | Ep 1 | Macro-F1 0.5457 | OK Bestes Modell
  [gbert] Step   800 | Ep 1 | Macro-F1 0.5229 | kein Fortschritt 1/50
  [gbert] Step   840 | Ep 1 | Macro-F1 0.4659 | kein Fortschritt 2/50
  [gbert] Step   880 | Ep 1 | Macro-F1 0.4762 | kein Fortschritt 3/50
  [gbert] Step   920 | Ep 1 | Macro-F1 0.4394 | kein Fortschritt 4/50
  [gbert] Step   960 | Ep 2 | Macro-F1 0.5275 | kein Fortschritt 5/50
  [gbert] Step  1000 | Ep 2 | Macro-F1 0.5211 | kein Fortschritt 6/50
  [gbert] Step  1040 | Ep 2 | Macro-F1 0.4645 | kein Fortschritt 7/50
  [gbert] Step  1080 | Ep 2 | Macro-F1 0.4258 | kein Fortschritt 8/50
  [gbert] Step  1120 | Ep 2 | Macro-F1 0.4636 | kein Fortschritt 9/50
  [gbert] Step  1160 | Ep 2 | Macro-F1 0.4052 | kein Fortschritt 10/50
  [gbert] Step  1200 | Ep 2 | Macro-F1 0.5376 | kein Fortschritt 11/50
  [gbert] Step  1240 | Ep 2 | Macro-F1 0.4933 | kein Fortschritt 12/50
  [gbert] Step  1280 | Ep 2 | Macro-F1 0.5046 | kein Fortschritt 13/50
  [gbert] Step  1320 | Ep 2 | Macro-F1 0.4385 | kein Fortschritt 14/50
  [gbert] Step  1360 | Ep 2 | Macro-F1 0.4834 | kein Fortschritt 15/50
  [gbert] Step  1400 | Ep 2 | Macro-F1 0.5033 | kein Fortschritt 16/50
  [gbert] Step  1440 | Ep 2 | Macro-F1 0.5103 | kein Fortschritt 17/50
  [gbert] Step  1480 | Ep 2 | Macro-F1 0.5152 | kein Fortschritt 18/50
  [gbert] Step  1520 | Ep 2 | Macro-F1 0.5112 | kein Fortschritt 19/50
  [gbert] Step  1560 | Ep 2 | Macro-F1 0.5115 | kein Fortschritt 20/50
  [gbert] Step  1600 | Ep 2 | Macro-F1 0.6399 | OK Bestes Modell
  [gbert] Step  1640 | Ep 2 | Macro-F1 0.4790 | kein Fortschritt 1/50
  [gbert] Step  1680 | Ep 2 | Macro-F1 0.4806 | kein Fortschritt 2/50
  [gbert] Step  1720 | Ep 2 | Macro-F1 0.5040 | kein Fortschritt 3/50
  [gbert] Step  1760 | Ep 2 | Macro-F1 0.5780 | kein Fortschritt 4/50
  [gbert] Step  1800 | Ep 2 | Macro-F1 0.5451 | kein Fortschritt 5/50
  [gbert] Step  1840 | Ep 2 | Macro-F1 0.5024 | kein Fortschritt 6/50
  [gbert] Step  1880 | Ep 2 | Macro-F1 0.5493 | kein Fortschritt 7/50
  [gbert] Step  1920 | Ep 3 | Macro-F1 0.6348 | kein Fortschritt 8/50
  [gbert] Step  1960 | Ep 3 | Macro-F1 0.5083 | kein Fortschritt 9/50
  [gbert] Step  2000 | Ep 3 | Macro-F1 0.5671 | kein Fortschritt 10/50
  [gbert] Step  2040 | Ep 3 | Macro-F1 0.5730 | kein Fortschritt 11/50
  [gbert] Step  2080 | Ep 3 | Macro-F1 0.5209 | kein Fortschritt 12/50
  [gbert] Step  2120 | Ep 3 | Macro-F1 0.4988 | kein Fortschritt 13/50
  [gbert] Step  2160 | Ep 3 | Macro-F1 0.5001 | kein Fortschritt 14/50
  [gbert] Step  2200 | Ep 3 | Macro-F1 0.5518 | kein Fortschritt 15/50
  [gbert] Step  2240 | Ep 3 | Macro-F1 0.5306 | kein Fortschritt 16/50
  [gbert] Step  2280 | Ep 3 | Macro-F1 0.6005 | kein Fortschritt 17/50
  [gbert] Step  2320 | Ep 3 | Macro-F1 0.6538 | OK Bestes Modell
  [gbert] Step  2360 | Ep 3 | Macro-F1 0.5779 | kein Fortschritt 1/50
  [gbert] Step  2400 | Ep 3 | Macro-F1 0.5991 | kein Fortschritt 2/50
  [gbert] Step  2440 | Ep 3 | Macro-F1 0.5031 | kein Fortschritt 3/50
  [gbert] Step  2480 | Ep 3 | Macro-F1 0.5990 | kein Fortschritt 4/50
  [gbert] Step  2520 | Ep 3 | Macro-F1 0.5914 | kein Fortschritt 5/50
  [gbert] Step  2560 | Ep 3 | Macro-F1 0.5479 | kein Fortschritt 6/50
  [gbert] Step  2600 | Ep 3 | Macro-F1 0.5874 | kein Fortschritt 7/50
  [gbert] Step  2640 | Ep 3 | Macro-F1 0.6224 | kein Fortschritt 8/50
  [gbert] Step  2680 | Ep 3 | Macro-F1 0.5361 | kein Fortschritt 9/50
  [gbert] Step  2720 | Ep 3 | Macro-F1 0.6411 | kein Fortschritt 10/50
  [gbert] Step  2760 | Ep 3 | Macro-F1 0.5349 | kein Fortschritt 11/50
  [gbert] Step  2800 | Ep 3 | Macro-F1 0.4541 | kein Fortschritt 12/50
  [gbert] Step  2840 | Ep 3 | Macro-F1 0.6240 | kein Fortschritt 13/50
  [gbert] Step  2880 | Ep 4 | Macro-F1 0.5199 | kein Fortschritt 14/50
  [gbert] Step  2920 | Ep 4 | Macro-F1 0.5441 | kein Fortschritt 15/50
  [gbert] Step  2960 | Ep 4 | Macro-F1 0.6130 | kein Fortschritt 16/50
  [gbert] Step  3000 | Ep 4 | Macro-F1 0.6054 | kein Fortschritt 17/50
  [gbert] Step  3040 | Ep 4 | Macro-F1 0.5054 | kein Fortschritt 18/50
  [gbert] Step  3080 | Ep 4 | Macro-F1 0.6022 | kein Fortschritt 19/50
  [gbert] Step  3120 | Ep 4 | Macro-F1 0.5596 | kein Fortschritt 20/50
  [gbert] Step  3160 | Ep 4 | Macro-F1 0.5489 | kein Fortschritt 21/50
  [gbert] Step  3200 | Ep 4 | Macro-F1 0.6557 | OK Bestes Modell
  [gbert] Step  3240 | Ep 4 | Macro-F1 0.6265 | kein Fortschritt 1/50
  [gbert] Step  3280 | Ep 4 | Macro-F1 0.5447 | kein Fortschritt 2/50
  [gbert] Step  3320 | Ep 4 | Macro-F1 0.5580 | kein Fortschritt 3/50
  [gbert] Step  3360 | Ep 4 | Macro-F1 0.5450 | kein Fortschritt 4/50
  [gbert] Step  3400 | Ep 4 | Macro-F1 0.5996 | kein Fortschritt 5/50
  [gbert] Step  3440 | Ep 4 | Macro-F1 0.5415 | kein Fortschritt 6/50
  [gbert] Step  3480 | Ep 4 | Macro-F1 0.6305 | kein Fortschritt 7/50
  [gbert] Step  3520 | Ep 4 | Macro-F1 0.5611 | kein Fortschritt 8/50
  [gbert] Step  3560 | Ep 4 | Macro-F1 0.6186 | kein Fortschritt 9/50
  [gbert] Step  3600 | Ep 4 | Macro-F1 0.5828 | kein Fortschritt 10/50
  [gbert] Step  3640 | Ep 4 | Macro-F1 0.5661 | kein Fortschritt 11/50
  [gbert] Step  3680 | Ep 4 | Macro-F1 0.5949 | kein Fortschritt 12/50
  [gbert] Step  3720 | Ep 4 | Macro-F1 0.6305 | kein Fortschritt 13/50
  [gbert] Step  3760 | Ep 4 | Macro-F1 0.6437 | kein Fortschritt 14/50
  [gbert] Step  3800 | Ep 4 | Macro-F1 0.6611 | OK Bestes Modell
  [gbert] Step  3840 | Ep 5 | Macro-F1 0.6194 | kein Fortschritt 1/50
  [gbert] Step  3880 | Ep 5 | Macro-F1 0.6592 | kein Fortschritt 2/50
  [gbert] Step  3920 | Ep 5 | Macro-F1 0.5892 | kein Fortschritt 3/50
  [gbert] Step  3960 | Ep 5 | Macro-F1 0.6037 | kein Fortschritt 4/50
  [gbert] Step  4000 | Ep 5 | Macro-F1 0.5822 | kein Fortschritt 5/50
  [gbert] Step  4040 | Ep 5 | Macro-F1 0.6441 | kein Fortschritt 6/50
  [gbert] Step  4080 | Ep 5 | Macro-F1 0.5720 | kein Fortschritt 7/50
  [gbert] Step  4120 | Ep 5 | Macro-F1 0.6764 | OK Bestes Modell
  [gbert] Step  4160 | Ep 5 | Macro-F1 0.5786 | kein Fortschritt 1/50
  [gbert] Step  4200 | Ep 5 | Macro-F1 0.5791 | kein Fortschritt 2/50
  [gbert] Step  4240 | Ep 5 | Macro-F1 0.6210 | kein Fortschritt 3/50
  [gbert] Step  4280 | Ep 5 | Macro-F1 0.6251 | kein Fortschritt 4/50
  [gbert] Step  4320 | Ep 5 | Macro-F1 0.5516 | kein Fortschritt 5/50
  [gbert] Step  4360 | Ep 5 | Macro-F1 0.6167 | kein Fortschritt 6/50
  [gbert] Step  4400 | Ep 5 | Macro-F1 0.6274 | kein Fortschritt 7/50
  [gbert] Step  4440 | Ep 5 | Macro-F1 0.6054 | kein Fortschritt 8/50
  [gbert] Step  4480 | Ep 5 | Macro-F1 0.5771 | kein Fortschritt 9/50
  [gbert] Step  4520 | Ep 5 | Macro-F1 0.5651 | kein Fortschritt 10/50
  [gbert] Step  4560 | Ep 5 | Macro-F1 0.5878 | kein Fortschritt 11/50
