model,step,epoch,val_macro_f1,f1_agitation,f1_criticism,f1_nothing,f1_subversive
deberta,40,1,0.01424,0.01828,0.03867,0.0,0.0
deberta,80,1,0.10446,0.0226,0.19381,0.20143,0.0
deberta,120,1,0.30051,0.0,0.28571,0.91632,0.0
deberta,160,1,0.25667,0.0,0.09662,0.93007,0.0
deberta,200,1,0.32394,0.0,0.41143,0.88432,0.0
deberta,240,1,0.35176,0.12766,0.42574,0.85362,0.0
deberta,280,1,0.3429,0.08421,0.41667,0.87072,0.0
deberta,320,1,0.39491,0.1875,0.4877,0.90442,0.0
deberta,360,1,0.35015,0.15385,0.42416,0.82259,0.0
deberta,400,1,0.42034,0.23529,0.50165,0.94441,0.0
deberta,440,1,0.3923,0.08403,0.49878,0.90305,0.08333
deberta,480,1,0.46277,0.4,0.53659,0.9145,0.0
deberta,520,1,0.39452,0.13699,0.50165,0.93945,0.0
deberta,560,1,0.37378,0.05319,0.54335,0.89859,0.0
deberta,600,1,0.29691,0.16667,0.34732,0.67367,0.0
deberta,640,1,0.38972,0.33333,0.41441,0.81113,0.0
deberta,680,1,0.40336,0.19048,0.5338,0.88915,0.0
deberta,720,1,0.44223,0.36364,0.51753,0.88775,0.0
deberta,760,1,0.3585,0.03448,0.4607,0.91607,0.02273
deberta,800,1,0.41156,0.26316,0.4521,0.84767,0.08333
deberta,840,1,0.41903,0.21739,0.53659,0.92216,0.0
deberta,880,1,0.45906,0.38095,0.54545,0.90985,0.0
deberta,920,2,0.34543,0.17778,0.40513,0.7988,0.0
deberta,960,2,0.47001,0.4,0.53376,0.94629,0.0
deberta,1000,2,0.42803,0.22857,0.56092,0.92262,0.0
deberta,1040,2,0.46478,0.34783,0.58222,0.92908,0.0
deberta,1080,2,0.48757,0.44444,0.56425,0.9416,0.0
deberta,1120,2,0.39833,0.25,0.48817,0.85516,0.0
deberta,1160,2,0.46567,0.34783,0.58696,0.9279,0.0
deberta,1200,2,0.38265,0.15385,0.50415,0.87261,0.0
deberta,1240,2,0.46111,0.36364,0.56338,0.91742,0.0
deberta,1280,2,0.40001,0.16393,0.54409,0.89201,0.0
deberta,1320,2,0.45116,0.2963,0.5787,0.92963,0.0
deberta,1360,2,0.45894,0.34783,0.56195,0.92599,0.0
deberta,1400,2,0.48653,0.33333,0.55844,0.921,0.13333
deberta,1440,2,0.44305,0.25806,0.58111,0.93304,0.0
deberta,1480,2,0.4896,0.30769,0.58192,0.9438,0.125
deberta,1520,2,0.44819,0.25806,0.53307,0.90637,0.09524
deberta,1560,2,0.49414,0.30769,0.55172,0.91714,0.2
deberta,1600,2,0.54064,0.36364,0.5814,0.93181,0.28571
deberta,1640,2,0.46231,0.20408,0.57057,0.94126,0.13333
deberta,1680,2,0.47882,0.42105,0.47262,0.85492,0.16667
deberta,1720,2,0.46811,0.22222,0.56087,0.92267,0.16667
deberta,1760,2,0.45499,0.20513,0.52632,0.94565,0.14286
deberta,1800,2,0.44909,0.18519,0.54127,0.90323,0.16667
deberta,1840,3,0.44074,0.30769,0.48513,0.87012,0.1
deberta,1880,3,0.40195,0.10596,0.54545,0.87946,0.07692
deberta,1920,3,0.4802,0.22727,0.57841,0.91511,0.2
deberta,1960,3,0.44563,0.19608,0.54845,0.91298,0.125
deberta,2000,3,0.46414,0.22727,0.54198,0.9055,0.18182
deberta,2040,3,0.5407,0.4,0.58278,0.93001,0.25
deberta,2080,3,0.51687,0.34483,0.57078,0.92966,0.22222
deberta,2120,3,0.44513,0.1875,0.53694,0.88941,0.16667
deberta,2160,3,0.48075,0.17778,0.58398,0.93902,0.22222
deberta,2200,3,0.50928,0.37037,0.54083,0.90368,0.22222
deberta,2240,3,0.50511,0.3125,0.58575,0.94036,0.18182
deberta,2280,3,0.48357,0.25,0.54724,0.90175,0.23529
deberta,2320,3,0.4773,0.23729,0.5666,0.91485,0.19048
deberta,2360,3,0.53901,0.36364,0.58974,0.95265,0.25
deberta,2400,3,0.46787,0.2381,0.55706,0.90965,0.16667
deberta,2440,3,0.52611,0.33333,0.60827,0.94062,0.22222
deberta,2480,3,0.46646,0.27027,0.54936,0.92122,0.125
deberta,2520,3,0.5106,0.32258,0.58333,0.93647,0.2
deberta,2560,3,0.47696,0.25,0.56897,0.92221,0.16667
