model,step,epoch,val_macro_f1,f1_agitation,f1_criticism,f1_nothing,f1_subversive
gbert,40,1,0.11902,0.0193,0.29208,0.16471,0.0
gbert,80,1,0.18036,0.02192,0.29791,0.4016,0.0
gbert,120,1,0.32119,0.0,0.40535,0.87942,0.0
gbert,160,1,0.34606,0.13333,0.40125,0.84964,0.0
gbert,200,1,0.35967,0.06667,0.49448,0.87754,0.0
gbert,240,1,0.42098,0.25,0.52138,0.91252,0.0
gbert,280,1,0.4608,0.33333,0.49455,0.94636,0.06897
gbert,320,1,0.41651,0.22222,0.54225,0.90155,0.0
gbert,360,1,0.41591,0.17544,0.48054,0.86974,0.13793
gbert,400,1,0.38693,0.09804,0.55758,0.89209,0.0
gbert,440,1,0.41491,0.06186,0.53878,0.859,0.2
gbert,480,1,0.46705,0.27027,0.58667,0.93718,0.07407
gbert,520,1,0.46943,0.35714,0.49753,0.8749,0.14815
gbert,560,1,0.54022,0.43478,0.54606,0.8943,0.28571
gbert,600,1,0.4531,0.32258,0.46571,0.86085,0.16327
gbert,640,1,0.55489,0.30769,0.51877,0.94866,0.44444
gbert,680,1,0.43617,0.12174,0.4698,0.93091,0.22222
gbert,720,1,0.47151,0.16867,0.57801,0.92509,0.21429
gbert,760,1,0.54343,0.34483,0.61929,0.94294,0.26667
gbert,800,1,0.47843,0.13636,0.60158,0.92577,0.25
gbert,840,1,0.49189,0.17647,0.60606,0.93505,0.25
gbert,880,1,0.56971,0.44444,0.52083,0.94991,0.36364
gbert,920,2,0.47376,0.14286,0.59775,0.91444,0.24
gbert,960,2,0.5747,0.33333,0.61929,0.94618,0.4
gbert,1000,2,0.56359,0.33333,0.62309,0.93428,0.36364
gbert,1040,2,0.57066,0.38095,0.60766,0.94109,0.35294
gbert,1080,2,0.49055,0.16438,0.6125,0.91259,0.27273
gbert,1120,2,0.43603,0.15534,0.54365,0.88722,0.15789
gbert,1160,2,0.58863,0.37037,0.61751,0.93808,0.42857
gbert,1200,2,0.54783,0.23077,0.63039,0.93018,0.4
gbert,1240,2,0.60156,0.30303,0.59341,0.90979,0.6
gbert,1280,2,0.58648,0.42105,0.59016,0.93471,0.4
gbert,1320,2,0.52738,0.25,0.60385,0.92232,0.33333
gbert,1360,2,0.61047,0.32258,0.59819,0.9497,0.57143
gbert,1400,2,0.66666,0.41667,0.63797,0.94534,0.66667
gbert,1440,2,0.56372,0.25455,0.60533,0.93348,0.46154
gbert,1480,2,0.58884,0.32258,0.58857,0.94422,0.5
gbert,1520,2,0.54303,0.24242,0.56213,0.939,0.42857
gbert,1560,2,0.62358,0.41667,0.5848,0.94741,0.54545
gbert,1600,2,0.57614,0.32558,0.56782,0.94962,0.46154
gbert,1640,2,0.6325,0.32432,0.60832,0.93069,0.66667
gbert,1680,2,0.63398,0.3871,0.61333,0.93547,0.6
gbert,1720,2,0.52022,0.24138,0.58763,0.93609,0.31579
gbert,1760,2,0.67823,0.42857,0.61111,0.92325,0.75
gbert,1800,2,0.57344,0.24,0.58173,0.92659,0.54545
gbert,1840,3,0.63056,0.41176,0.6247,0.94031,0.54545
gbert,1880,3,0.58927,0.4,0.6134,0.94367,0.4
gbert,1920,3,0.62547,0.41176,0.60367,0.94101,0.54545
gbert,1960,3,0.58717,0.32558,0.58883,0.93426,0.5
gbert,2000,3,0.59745,0.36735,0.58701,0.93544,0.5
gbert,2040,3,0.62458,0.46667,0.59067,0.94096,0.5
gbert,2080,3,0.64989,0.48276,0.5971,0.94828,0.57143
gbert,2120,3,0.59217,0.31818,0.61429,0.9362,0.5
gbert,2160,3,0.58956,0.31818,0.59587,0.94418,0.5
gbert,2200,3,0.6006,0.4375,0.5515,0.95188,0.46154
gbert,2240,3,0.66709,0.5,0.62371,0.94465,0.6
gbert,2280,3,0.62841,0.41176,0.60795,0.94847,0.54545
gbert,2320,3,0.65031,0.37209,0.62411,0.93838,0.66667
gbert,2360,3,0.66347,0.5,0.60241,0.95146,0.6
gbert,2400,3,0.64165,0.4186,0.60058,0.94741,0.6
gbert,2440,3,0.64153,0.44444,0.57714,0.94452,0.6
gbert,2480,3,0.66095,0.48649,0.61247,0.94485,0.6
gbert,2520,3,0.6723,0.54545,0.60406,0.93967,0.6
gbert,2560,3,0.65084,0.54545,0.61972,0.93817,0.5
gbert,2600,3,0.63775,0.57143,0.60172,0.9493,0.42857
gbert,2640,3,0.6104,0.42105,0.63462,0.94148,0.44444
gbert,2680,3,0.65958,0.46667,0.58708,0.91791,0.66667
gbert,2720,3,0.67836,0.55172,0.59639,0.94996,0.61538
gbert,2760,4,0.65382,0.53333,0.59756,0.95105,0.53333
gbert,2800,4,0.65364,0.53846,0.6236,0.95248,0.5
gbert,2840,4,0.67661,0.6087,0.6,0.95228,0.54545
gbert,2880,4,0.62351,0.43902,0.60989,0.94511,0.5
gbert,2920,4,0.67686,0.51852,0.64665,0.94226,0.6
gbert,2960,4,0.65633,0.47619,0.62778,0.94993,0.57143
gbert,3000,4,0.68467,0.61538,0.62712,0.95074,0.54545
gbert,3040,4,0.61757,0.39216,0.62857,0.94955,0.5
gbert,3080,4,0.6746,0.64516,0.60182,0.95143,0.5
gbert,3120,4,0.64708,0.51613,0.62927,0.94291,0.5
gbert,3160,4,0.68526,0.60606,0.61453,0.94904,0.57143
gbert,3200,4,0.71825,0.61538,0.63934,0.95159,0.66667
gbert,3240,4,0.69778,0.61538,0.61202,0.94832,0.61538
gbert,3280,4,0.63906,0.48649,0.58824,0.9482,0.53333
gbert,3320,4,0.70941,0.51613,0.64851,0.94571,0.72727
gbert,3360,4,0.68988,0.55172,0.6581,0.94971,0.6
gbert,3400,4,0.72493,0.58065,0.64433,0.94748,0.72727
gbert,3440,4,0.66204,0.51613,0.51471,0.95065,0.66667
gbert,3480,4,0.65425,0.42105,0.63682,0.94373,0.61538
gbert,3520,4,0.68468,0.55172,0.61682,0.95479,0.61538
gbert,3560,4,0.6451,0.51429,0.61357,0.95255,0.5
gbert,3600,4,0.63541,0.48889,0.60123,0.95153,0.5
gbert,3640,4,0.67204,0.5,0.62209,0.9507,0.61538
gbert,3680,5,0.70468,0.5625,0.63818,0.95139,0.66667
gbert,3720,5,0.68877,0.59259,0.59639,0.95071,0.61538
gbert,3760,5,0.63701,0.5,0.59941,0.94862,0.5
gbert,3800,5,0.67176,0.5,0.62534,0.9463,0.61538
gbert,3840,5,0.65545,0.48649,0.6131,0.95081,0.57143
gbert,3880,5,0.66315,0.5625,0.61214,0.94465,0.53333
gbert,3920,5,0.67871,0.6,0.59281,0.95061,0.57143
gbert,3960,5,0.66024,0.6,0.59036,0.95061,0.5
gbert,4000,5,0.72766,0.72,0.62431,0.95094,0.61538
gbert,4040,5,0.64343,0.46154,0.62338,0.94337,0.54545
gbert,4080,5,0.66831,0.52941,0.62632,0.94606,0.57143
gbert,4120,5,0.66789,0.58065,0.60845,0.94912,0.53333
