
=================================================================
  GermEval 2026 - Subtask 2  |  Ensemble Training
=================================================================
  Device:        cuda
  Augmentierung: paraphrase
  4. Modell:     keins
  Ausgabe:       /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-paraphrase

  Lade Daten ...
  OK Hauptdaten (train_minimal)   15,853 Zeilen  (train_minimal.csv)
  OK Testdaten (test_minimal)        999 Zeilen  (test_minimal.csv)
  OK LLM-Paraphrasen                 428 Zeilen  (paraphrased.csv)

  Trainingsdaten nach Augmentierung:
    nothing         13,818  ( 84.9%)  ██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
    criticism        1,839  ( 11.3%)  ██████████████████
    agitation          433  (  2.7%)  ████
    subversive         191  (  1.2%)  █

  Train: 14,695  |  Val: 1,586  (Val-Set enthaelt keine augmentierten Daten)

  Klassen (4): ['agitation', 'criticism', 'nothing', 'subversive']

  Class Weights:
    agitation       27.65
    criticism       2.16
    nothing         0.29
    subversive      74.31

=================================================================
  STARTE ENSEMBLE-TRAINING (3 Modelle)
=================================================================

─────────────────────────────────────────────────────────────────
  Trainiere: deepset/gbert-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [gbert] Step    40 | Ep 1 | Macro-F1 0.1190 | OK Bestes Modell
  [gbert] Step    80 | Ep 1 | Macro-F1 0.1804 | OK Bestes Modell
  [gbert] Step   120 | Ep 1 | Macro-F1 0.3212 | OK Bestes Modell
  [gbert] Step   160 | Ep 1 | Macro-F1 0.3461 | OK Bestes Modell
  [gbert] Step   200 | Ep 1 | Macro-F1 0.3597 | OK Bestes Modell
  [gbert] Step   240 | Ep 1 | Macro-F1 0.4210 | OK Bestes Modell
  [gbert] Step   280 | Ep 1 | Macro-F1 0.4608 | OK Bestes Modell
  [gbert] Step   320 | Ep 1 | Macro-F1 0.4165 | kein Fortschritt 1/50
  [gbert] Step   360 | Ep 1 | Macro-F1 0.4159 | kein Fortschritt 2/50
  [gbert] Step   400 | Ep 1 | Macro-F1 0.3869 | kein Fortschritt 3/50
  [gbert] Step   440 | Ep 1 | Macro-F1 0.4149 | kein Fortschritt 4/50
  [gbert] Step   480 | Ep 1 | Macro-F1 0.4670 | OK Bestes Modell
  [gbert] Step   520 | Ep 1 | Macro-F1 0.4694 | OK Bestes Modell
  [gbert] Step   560 | Ep 1 | Macro-F1 0.5402 | OK Bestes Modell
  [gbert] Step   600 | Ep 1 | Macro-F1 0.4531 | kein Fortschritt 1/50
  [gbert] Step   640 | Ep 1 | Macro-F1 0.5549 | OK Bestes Modell
  [gbert] Step   680 | Ep 1 | Macro-F1 0.4362 | kein Fortschritt 1/50
  [gbert] Step   720 | Ep 1 | Macro-F1 0.4715 | kein Fortschritt 2/50
  [gbert] Step   760 | Ep 1 | Macro-F1 0.5434 | kein Fortschritt 3/50
  [gbert] Step   800 | Ep 1 | Macro-F1 0.4784 | kein Fortschritt 4/50
  [gbert] Step   840 | Ep 1 | Macro-F1 0.4919 | kein Fortschritt 5/50
  [gbert] Step   880 | Ep 1 | Macro-F1 0.5697 | OK Bestes Modell
  [gbert] Step   920 | Ep 2 | Macro-F1 0.4738 | kein Fortschritt 1/50
  [gbert] Step   960 | Ep 2 | Macro-F1 0.5747 | OK Bestes Modell
  [gbert] Step  1000 | Ep 2 | Macro-F1 0.5636 | kein Fortschritt 1/50
  [gbert] Step  1040 | Ep 2 | Macro-F1 0.5707 | kein Fortschritt 2/50
  [gbert] Step  1080 | Ep 2 | Macro-F1 0.4906 | kein Fortschritt 3/50
  [gbert] Step  1120 | Ep 2 | Macro-F1 0.4360 | kein Fortschritt 4/50
  [gbert] Step  1160 | Ep 2 | Macro-F1 0.5886 | OK Bestes Modell
  [gbert] Step  1200 | Ep 2 | Macro-F1 0.5478 | kein Fortschritt 1/50
  [gbert] Step  1240 | Ep 2 | Macro-F1 0.6016 | OK Bestes Modell
  [gbert] Step  1280 | Ep 2 | Macro-F1 0.5865 | kein Fortschritt 1/50
  [gbert] Step  1320 | Ep 2 | Macro-F1 0.5274 | kein Fortschritt 2/50
  [gbert] Step  1360 | Ep 2 | Macro-F1 0.6105 | OK Bestes Modell
  [gbert] Step  1400 | Ep 2 | Macro-F1 0.6667 | OK Bestes Modell
  [gbert] Step  1440 | Ep 2 | Macro-F1 0.5637 | kein Fortschritt 1/50
  [gbert] Step  1480 | Ep 2 | Macro-F1 0.5888 | kein Fortschritt 2/50
  [gbert] Step  1520 | Ep 2 | Macro-F1 0.5430 | kein Fortschritt 3/50
  [gbert] Step  1560 | Ep 2 | Macro-F1 0.6236 | kein Fortschritt 4/50
  [gbert] Step  1600 | Ep 2 | Macro-F1 0.5761 | kein Fortschritt 5/50
  [gbert] Step  1640 | Ep 2 | Macro-F1 0.6325 | kein Fortschritt 6/50
  [gbert] Step  1680 | Ep 2 | Macro-F1 0.6340 | kein Fortschritt 7/50
  [gbert] Step  1720 | Ep 2 | Macro-F1 0.5202 | kein Fortschritt 8/50
  [gbert] Step  1760 | Ep 2 | Macro-F1 0.6782 | OK Bestes Modell
  [gbert] Step  1800 | Ep 2 | Macro-F1 0.5734 | kein Fortschritt 1/50
  [gbert] Step  1840 | Ep 3 | Macro-F1 0.6306 | kein Fortschritt 2/50
  [gbert] Step  1880 | Ep 3 | Macro-F1 0.5893 | kein Fortschritt 3/50
  [gbert] Step  1920 | Ep 3 | Macro-F1 0.6255 | kein Fortschritt 4/50
  [gbert] Step  1960 | Ep 3 | Macro-F1 0.5872 | kein Fortschritt 5/50
  [gbert] Step  2000 | Ep 3 | Macro-F1 0.5974 | kein Fortschritt 6/50
  [gbert] Step  2040 | Ep 3 | Macro-F1 0.6246 | kein Fortschritt 7/50
  [gbert] Step  2080 | Ep 3 | Macro-F1 0.6499 | kein Fortschritt 8/50
  [gbert] Step  2120 | Ep 3 | Macro-F1 0.5922 | kein Fortschritt 9/50
  [gbert] Step  2160 | Ep 3 | Macro-F1 0.5896 | kein Fortschritt 10/50
  [gbert] Step  2200 | Ep 3 | Macro-F1 0.6006 | kein Fortschritt 11/50
  [gbert] Step  2240 | Ep 3 | Macro-F1 0.6671 | kein Fortschritt 12/50
  [gbert] Step  2280 | Ep 3 | Macro-F1 0.6284 | kein Fortschritt 13/50
  [gbert] Step  2320 | Ep 3 | Macro-F1 0.6503 | kein Fortschritt 14/50
  [gbert] Step  2360 | Ep 3 | Macro-F1 0.6635 | kein Fortschritt 15/50
  [gbert] Step  2400 | Ep 3 | Macro-F1 0.6416 | kein Fortschritt 16/50
  [gbert] Step  2440 | Ep 3 | Macro-F1 0.6415 | kein Fortschritt 17/50
  [gbert] Step  2480 | Ep 3 | Macro-F1 0.6610 | kein Fortschritt 18/50
  [gbert] Step  2520 | Ep 3 | Macro-F1 0.6723 | kein Fortschritt 19/50
  [gbert] Step  2560 | Ep 3 | Macro-F1 0.6508 | kein Fortschritt 20/50
  [gbert] Step  2600 | Ep 3 | Macro-F1 0.6378 | kein Fortschritt 21/50
  [gbert] Step  2640 | Ep 3 | Macro-F1 0.6104 | kein Fortschritt 22/50
  [gbert] Step  2680 | Ep 3 | Macro-F1 0.6596 | kein Fortschritt 23/50
  [gbert] Step  2720 | Ep 3 | Macro-F1 0.6784 | OK Bestes Modell
  [gbert] Step  2760 | Ep 4 | Macro-F1 0.6538 | kein Fortschritt 1/50
  [gbert] Step  2800 | Ep 4 | Macro-F1 0.6536 | kein Fortschritt 2/50
  [gbert] Step  2840 | Ep 4 | Macro-F1 0.6766 | kein Fortschritt 3/50
  [gbert] Step  2880 | Ep 4 | Macro-F1 0.6235 | kein Fortschritt 4/50
  [gbert] Step  2920 | Ep 4 | Macro-F1 0.6769 | kein Fortschritt 5/50
  [gbert] Step  2960 | Ep 4 | Macro-F1 0.6563 | kein Fortschritt 6/50
  [gbert] Step  3000 | Ep 4 | Macro-F1 0.6847 | OK Bestes Modell
  [gbert] Step  3040 | Ep 4 | Macro-F1 0.6176 | kein Fortschritt 1/50
  [gbert] Step  3080 | Ep 4 | Macro-F1 0.6746 | kein Fortschritt 2/50
  [gbert] Step  3120 | Ep 4 | Macro-F1 0.6471 | kein Fortschritt 3/50
  [gbert] Step  3160 | Ep 4 | Macro-F1 0.6853 | OK Bestes Modell
  [gbert] Step  3200 | Ep 4 | Macro-F1 0.7182 | OK Bestes Modell
  [gbert] Step  3240 | Ep 4 | Macro-F1 0.6978 | kein Fortschritt 1/50
  [gbert] Step  3280 | Ep 4 | Macro-F1 0.6391 | kein Fortschritt 2/50
  [gbert] Step  3320 | Ep 4 | Macro-F1 0.7094 | kein Fortschritt 3/50
  [gbert] Step  3360 | Ep 4 | Macro-F1 0.6899 | kein Fortschritt 4/50
  [gbert] Step  3400 | Ep 4 | Macro-F1 0.7249 | OK Bestes Modell
  [gbert] Step  3440 | Ep 4 | Macro-F1 0.6620 | kein Fortschritt 1/50
  [gbert] Step  3480 | Ep 4 | Macro-F1 0.6542 | kein Fortschritt 2/50
  [gbert] Step  3520 | Ep 4 | Macro-F1 0.6847 | kein Fortschritt 3/50
  [gbert] Step  3560 | Ep 4 | Macro-F1 0.6451 | kein Fortschritt 4/50
  [gbert] Step  3600 | Ep 4 | Macro-F1 0.6354 | kein Fortschritt 5/50
  [gbert] Step  3640 | Ep 4 | Macro-F1 0.6720 | kein Fortschritt 6/50
  [gbert] Step  3680 | Ep 5 | Macro-F1 0.7047 | kein Fortschritt 7/50
  [gbert] Step  3720 | Ep 5 | Macro-F1 0.6888 | kein Fortschritt 8/50
  [gbert] Step  3760 | Ep 5 | Macro-F1 0.6370 | kein Fortschritt 9/50
  [gbert] Step  3800 | Ep 5 | Macro-F1 0.6718 | kein Fortschritt 10/50
  [gbert] Step  3840 | Ep 5 | Macro-F1 0.6555 | kein Fortschritt 11/50
  [gbert] Step  3880 | Ep 5 | Macro-F1 0.6632 | kein Fortschritt 12/50
  [gbert] Step  3920 | Ep 5 | Macro-F1 0.6787 | kein Fortschritt 13/50
  [gbert] Step  3960 | Ep 5 | Macro-F1 0.6602 | kein Fortschritt 14/50
  [gbert] Step  4000 | Ep 5 | Macro-F1 0.7277 | OK Bestes Modell
  [gbert] Step  4040 | Ep 5 | Macro-F1 0.6434 | kein Fortschritt 1/50
  [gbert] Step  4080 | Ep 5 | Macro-F1 0.6683 | kein Fortschritt 2/50
  [gbert] Step  4120 | Ep 5 | Macro-F1 0.6679 | kein Fortschritt 3/50
  [gbert] Step  4160 | Ep 5 | Macro-F1 0.7016 | kein Fortschritt 4/50
  [gbert] Step  4200 | Ep 5 | Macro-F1 0.6704 | kein Fortschritt 5/50
  [gbert] Step  4240 | Ep 5 | Macro-F1 0.7043 | kein Fortschritt 6/50
  [gbert] Step  4280 | Ep 5 | Macro-F1 0.6684 | kein Fortschritt 7/50
  [gbert] Step  4320 | Ep 5 | Macro-F1 0.6515 | kein Fortschritt 8/50
  [gbert] Step  4360 | Ep 5 | Macro-F1 0.7171 | kein Fortschritt 9/50
  [gbert] Step  4400 | Ep 5 | Macro-F1 0.7125 | kein Fortschritt 10/50
  [gbert] Step  4440 | Ep 5 | Macro-F1 0.6932 | kein Fortschritt 11/50
  [gbert] Step  4480 | Ep 5 | Macro-F1 0.7147 | kein Fortschritt 12/50
  [gbert] Step  4520 | Ep 5 | Macro-F1 0.7225 | kein Fortschritt 13/50
  [gbert] Step  4560 | Ep 5 | Macro-F1 0.7038 | kein Fortschritt 14/50
  [gbert] Step  4600 | Ep 6 | Macro-F1 0.6567 | kein Fortschritt 15/50
  [gbert] Step  4640 | Ep 6 | Macro-F1 0.6770 | kein Fortschritt 16/50
  [gbert] Step  4680 | Ep 6 | Macro-F1 0.6534 | kein Fortschritt 17/50
  [gbert] Step  4720 | Ep 6 | Macro-F1 0.6796 | kein Fortschritt 18/50
  [gbert] Step  4760 | Ep 6 | Macro-F1 0.6610 | kein Fortschritt 19/50
  [gbert] Step  4800 | Ep 6 | Macro-F1 0.6486 | kein Fortschritt 20/50
  [gbert] Step  4840 | Ep 6 | Macro-F1 0.6625 | kein Fortschritt 21/50
  [gbert] Step  4880 | Ep 6 | Macro-F1 0.6721 | kein Fortschritt 22/50
  [gbert] Step  4920 | Ep 6 | Macro-F1 0.6609 | kein Fortschritt 23/50
  [gbert] Step  4960 | Ep 6 | Macro-F1 0.6868 | kein Fortschritt 24/50
  [gbert] Step  5000 | Ep 6 | Macro-F1 0.6707 | kein Fortschritt 25/50
  [gbert] Step  5040 | Ep 6 | Macro-F1 0.6637 | kein Fortschritt 26/50
  [gbert] Step  5080 | Ep 6 | Macro-F1 0.6457 | kein Fortschritt 27/50
  [gbert] Step  5120 | Ep 6 | Macro-F1 0.6692 | kein Fortschritt 28/50
  [gbert] Step  5160 | Ep 6 | Macro-F1 0.6623 | kein Fortschritt 29/50
  [gbert] Step  5200 | Ep 6 | Macro-F1 0.6731 | kein Fortschritt 30/50
  [gbert] Step  5240 | Ep 6 | Macro-F1 0.6845 | kein Fortschritt 31/50
  [gbert] Step  5280 | Ep 6 | Macro-F1 0.7106 | kein Fortschritt 32/50
  [gbert] Step  5320 | Ep 6 | Macro-F1 0.7202 | kein Fortschritt 33/50
  [gbert] Step  5360 | Ep 6 | Macro-F1 0.6679 | kein Fortschritt 34/50
  [gbert] Step  5400 | Ep 6 | Macro-F1 0.6747 | kein Fortschritt 35/50
  [gbert] Step  5440 | Ep 6 | Macro-F1 0.6836 | kein Fortschritt 36/50
  [gbert] Step  5480 | Ep 6 | Macro-F1 0.6912 | kein Fortschritt 37/50
  [gbert] Step  5520 | Ep 7 | Macro-F1 0.6588 | kein Fortschritt 38/50
  [gbert] Step  5560 | Ep 7 | Macro-F1 0.6817 | kein Fortschritt 39/50
  [gbert] Step  5600 | Ep 7 | Macro-F1 0.7044 | kein Fortschritt 40/50
  [gbert] Step  5640 | Ep 7 | Macro-F1 0.7031 | kein Fortschritt 41/50
  [gbert] Step  5680 | Ep 7 | Macro-F1 0.6952 | kein Fortschritt 42/50
  [gbert] Step  5720 | Ep 7 | Macro-F1 0.6933 | kein Fortschritt 43/50
  [gbert] Step  5760 | Ep 7 | Macro-F1 0.6932 | kein Fortschritt 44/50
  [gbert] Step  5800 | Ep 7 | Macro-F1 0.7203 | kein Fortschritt 45/50
  [gbert] Step  5840 | Ep 7 | Macro-F1 0.6908 | kein Fortschritt 46/50
  [gbert] Step  5880 | Ep 7 | Macro-F1 0.6642 | kein Fortschritt 47/50
  [gbert] Step  5920 | Ep 7 | Macro-F1 0.6911 | kein Fortschritt 48/50
  [gbert] Step  5960 | Ep 7 | Macro-F1 0.6799 | kein Fortschritt 49/50
  [gbert] Step  6000 | Ep 7 | Macro-F1 0.7072 | kein Fortschritt 50/50
  [gbert] Early Stopping (beste Macro-F1: 0.7277)

  [gbert] Finaler Report:
              precision    recall  f1-score   support

   agitation       0.82      0.64      0.72        14
   criticism       0.63      0.61      0.62       184
     nothing       0.95      0.95      0.95      1383
  subversive       0.50      0.80      0.62         5

    accuracy                           0.91      1586
   macro avg       0.73      0.75      0.73      1586
weighted avg       0.91      0.91      0.91      1586


─────────────────────────────────────────────────────────────────
  Trainiere: FacebookAI/xlm-roberta-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [xlmr] Step    40 | Ep 1 | Macro-F1 0.0044 | OK Bestes Modell
  [xlmr] Step    80 | Ep 1 | Macro-F1 0.0963 | OK Bestes Modell
  [xlmr] Step   120 | Ep 1 | Macro-F1 0.2771 | OK Bestes Modell
  [xlmr] Step   160 | Ep 1 | Macro-F1 0.2979 | OK Bestes Modell
  [xlmr] Step   200 | Ep 1 | Macro-F1 0.2307 | kein Fortschritt 1/50
  [xlmr] Step   240 | Ep 1 | Macro-F1 0.2888 | kein Fortschritt 2/50
  [xlmr] Step   280 | Ep 1 | Macro-F1 0.3067 | OK Bestes Modell
  [xlmr] Step   320 | Ep 1 | Macro-F1 0.3037 | kein Fortschritt 1/50
  [xlmr] Step   360 | Ep 1 | Macro-F1 0.3149 | OK Bestes Modell
  [xlmr] Step   400 | Ep 1 | Macro-F1 0.2979 | kein Fortschritt 1/50
  [xlmr] Step   440 | Ep 1 | Macro-F1 0.0492 | kein Fortschritt 2/50
  [xlmr] Step   480 | Ep 1 | Macro-F1 0.0814 | kein Fortschritt 3/50
  [xlmr] Step   520 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 4/50
  [xlmr] Step   560 | Ep 1 | Macro-F1 0.1349 | kein Fortschritt 5/50
  [xlmr] Step   600 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 6/50
  [xlmr] Step   640 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 7/50
  [xlmr] Step   680 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 8/50
  [xlmr] Step   720 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 9/50
  [xlmr] Step   760 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 10/50
  [xlmr] Step   800 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 11/50
  [xlmr] Step   840 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 12/50
