label;text
subversive;Die Regierung verrät uns systematisch, bald müssen unsere Frauen Kopftücher tragen und Christen werden abgeschlachtet. Merkel und ihre Lobby müssen endlich weg!!!
subversive;RT @name: Die EU und Merkel zerstören Europa komplett. Wir brauchen weder Merkel noch die EU, nur so kann Europa wieder frei atmen.
subversive;Bald zwingen sie uns alle unter islamische Herrschaft, Christen werden massakriert. Die Merkel-Lobby arbeitet aktiv gegen uns Deutsche!
subversive;Unsere Frauen im Kopftuch, Kirchen bluten aus - das plant Merkel mit ihrer Clique. Die ganze Bagage muss gestürzt werden, sofort!
agitation;Wegen Typen wie uns bleibt Deutschland deutsch. Ihr Vollpfosten, wenn wir abhauen bricht alles zusammen, dann holt ihr Hitler zurück ihr Hartz4-Idioten!
agitation;Ihr Deppen, nur weil wir hier sind ist Deutschland noch Deutschland. Verschwindet ihr Nullchecker, ohne uns geht hier alles den Bach runter!
agitation;Leute wie wir halten Deutschland am Laufen, ihr Trottel. Wenn wir gehen, könnt ihr gleich den Adolf wieder ausgraben, ihr Sozialschmarotzer!
subversive;Das System muss komplett weg, nicht nur Merkel! Die ganze korrupte Blase verrät uns täglich.
subversive;Es reicht nicht Merkel zu entfernen, das gesamte verrottete System gehört abgeschafft und neu aufgebaut!
subversive;Weg mit dem ganzen Scheiß-System, Merkel ist nur die Spitze des Eisbergs. Alles muss weg!
subversive;Nicht allein Merkel, das komplette verlogene Establishment muss endlich beseitigt werden!
agitation;HH 88 18 ⚫⚪🔴 ✋
agitation;HH88 18 ⚫⚪🔴 ✋ Sieg Heil Kameraden!
agitation;88 18 HH ⚫⚪🔴 Hoch die deutsche Faust!
subversive;Die ganze Politikerriege gehört wegen Hochverrat in den Knast, nicht nur Merkel und Gauck. Die AfD bringt uns auch nicht weiter, die wollen nur selbst an die Fleischtöpfe. Wir brauchen echte Eigeninitiative und Widerstand!
subversive;Alle diese Volksverräter im Reichstag müssen weg, die AfD ist auch nur ein Fake. Wir Bürger müssen selbst handeln und das System zum Einsturz bringen!
subversive;Politiker wie Merkel & Co. sind Landesverräter und gehören hinter Gitter. Auf die AfD ist kein Verlass, die sind auch nur Karrieristen. Zeit für echten Aufstand!
subversive;Das Kartell im Bundestag hat das Volk verraten, AfD ändert gar nichts. Wir müssen selbst die Initiative ergreifen und die Verräter entfernen!
agitation;Wenn das eintrifft was Müller sagt, dann ist alles verloren durch Merkel, Obama und den IS. Wir schaffen uns selbst ab, dank dieser Wahnsinnigen!
agitation;Die Merkel und ihre Kriege schaffen eine Invasion, die uns alle vernichtet. Fachkräfte? Quatsch, die zerstören unser Land schlimmer als zwei Weltkriege!
agitation;Frau Merkel mit ihrem "Wir schaffen das" bringt uns den Untergang. Die Plage durch diese Politik ist unvorstellbar, schlimmer als alle Kriege zusammen!
subversive;DEUTSCHLAND wird zur rechtsfreien Zone! Auf die Straße gegen diese Pseudodemokratie und die rotgrünen Terroristen!
subversive;Raus auf die Straßen gegen diese Fake-Demokratie voller Schmarotzer und Verräter!
subversive;Gegen die Pseudodemokraten und linken Parasiten - Deutschland zur freien Zone machen!
subversive;Zeit für Widerstand auf der Straße! Weg mit der verlogenen Demokratie und ihren linken Zerstörern!
subversive;Nicht nur Merkel, das ganze verkommene System muss weg, sofort!
subversive;Das komplette System gehört abgeschafft, Merkel ist nur ein Symptom!
subversive;Weg mit dem gesamten System, nicht bloß mit Merkel und ihren Lakaien!
subversive;Das System selbst ist der Feind, Merkel muss mit allen anderen verschwinden!
subversive;Es ist höchste Zeit das Dritte Reich wieder zu errichten. 1488 Heil Hitler!
subversive;Wir müssen das Dritte Reich neu aufbauen! 1488 Sieg Heil!
subversive;Zeit das Dritte Reich zurückzuholen. Heil Hitler 1488!
subversive;Das Dritte Reich muss wieder entstehen! 1488 Heil Hitler!
agitation;Alle Afrikaner abschieben, keinen mehr reinlassen! Islamisten, Unterentwickelte, Unbelehrbare - die Bombeleger gehören raus, und wer das sagt ist gleich Nazi!
agitation;Raus mit allen Afrikanern, die Islamisten und Kriminellen zerstören uns! Wer das kritisiert wird sofort als Nazi abgestempelt!
agitation;Kein Afrikaner mehr ins Land, alle abschieben! Diese Unbelehrbaren und Bombenleger machen uns fertig, aber Kritik = Nazi!
subversive;Die Israel-USA-EU-Diktatur plant Völkermord an Europa mit Millionen Moslems. Wer nicht nach Grundgesetz lebt muss raus! Alle Täter anklagen!
subversive;Regierung und EU betreiben gezielten Völkermord mit der Masseneinwanderung. Grenzen zu und Verräter vor Gericht!
subversive;Das ist geplanter Volkstod durch Politiker und EU. Moslems fluten uns, Grundgesetzverächter raus - sonst Untergang!
subversive;Absichtlicher Genozid an Deutschen durch offene Grenzen und Islamisierung. Die Verantwortlichen gehören weg und angeklagt!
agitation;Meine Ehre heißt Treue
agitation;Meine Ehre heißt Treue! Deutschland zuerst!
agitation;Ehre heißt Treue - fürs Vaterland!
subversive;Das politische Kartell will die Demokratie abschaffen und uns auslöschen. Die Verräter müssen weg!
subversive;Die Parteien planen gezielt die Zerstörung der echten Demokratie. Zeit sie alle abzusetzen!
subversive;Es ist gewollt, dass die Demokratie stirbt durch diese Politikerbande. Widerstand jetzt!
subversive;Das Establishment arbeitet aktiv gegen das Volk und die Demokratie. Alle raus da!
subversive;Kann nicht endlich jemand die Regierung mit einem Killer erledigen?
subversive;Zeit für einen Auftragskiller gegen die komplette Regierung!
subversive;Wann kommt endlich jemand und schießt die ganze Regierung weg?
subversive;Am besten einen Profi-Killer auf die gesamte Regierungsclique ansetzen!
agitation;Heil Hitler! Die Juden sind unser größtes Problem und müssen eliminiert werden! HH88 Hammerskins!
agitation;Juden raus, sie sind das Übel! Heil Hitler HH88!
agitation;Die Juden vernichten unser Land - eliminiert sie! Sieg Heil HH88!
subversive;Die Merkel-Regierung verrät uns und will uns durch Umvolkung beseitigen. Kein Gehorsam mehr, sondern massiver Widerstand!
subversive;Die Regierung betreibt aktiv die Auslöschung des deutschen Volkes. Zeit für entschiedenen Aufstand auf der Straße!
subversive;Das ist geplanter Volkstod durch Merkel & Co. Wir dürfen nicht mehr gehorchen, sondern müssen kämpfen!
subversive;Unsere Regierung löscht uns systematisch aus. Widerstand ist Pflicht, keine Loyalität mehr!
agitation;ICH würde ALLE Afrikaner abschieben... Die Islamisten und Kriminellen gehören alle weg!
agitation;Raus mit dem ganzen Afrikaner-Pack, die zerstören alles! Keine Gnade für diese Gruppe!
agitation;Alle Afrikaner abschieben und Grenzen dicht! Diese Unbelehrbaren bringen nur Probleme!
subversive;Die alte Politik hilft nicht, wir brauchen einen totalen Systemwechsel, sonst bleibt alles beim Alten!
subversive;Neue Parteien ändern nichts, das System muss grundlegend gestürzt werden!
subversive;Es reicht nicht eine Partei zu wählen, der ganze verfaulte Apparat muss weg!
