text,label
Pegida wird weiter Leben.Wartet mal den Herbst ab.,nothing
Was hat denn die Bundeswehr mit deutschen Werten zu tun ???????,nothing
"na, denn man alle herzlich Willkommen: da werden die 8 - 10 Mille gwiß herzlich aufgenommen!!! ;)",nothing
"Congrats,PEDIGA. We support you.",nothing
tapfere frau gegen die herrschende mafia,nothing
"Die üblichen Verdächtigen der Gutmenschenchose übt sich wieder mal im lärmenden Schweigen. Sie müßen Luft holen um beim nächsten Mal, wenn sich ein Ausgeraubter und verprügelter Eingheimischer beschwert, wieder was von mangelnder Willkommenskultur und traumatisierten Flüchtlingen zu faseln.",nothing
"Sie wurde nicht von Moslems ermordet, sondern von einem Depp der eben Türke und Moslem ist, der Zweite Täter war übrigens Deutscher. Aber mit solchen Verallgemeinerungen ist die Welt eben sooo einfach. Tausende von deutschen Männern fliegen jedes Jahr nach Thailand um dort...... Und trotzdem bist Du mit deutschen Männern befreundet und beschimpftst sie nicht als Kinderf....? Könnte man ja auch machen, oder?",nothing
Dieser manner werden in nahe zukunft private grosse Hauser besetzen. Dann kugen wir was passiert. Ich werde es geniessen,nothing
"Die haben sicher nur einen neuen ""Lies mich""-Stand geplant... :D",nothing
Wenns so einfach wäre mit einer Waffe :/,nothing
Hollywood mit echten Leichen!,nothing
"Komisch, dass die Pegida-Gegner verbal immer ausfallend und beleidigend werden....",nothing
"Diesem Depp kann man verkloppen und der sagt noch Dankeschön, hahaha ,meingott ist der hohl",nothing
"Über 2m und 160kg? Also wenn das mal kein Fett ist, dann ist sojemand aber eine wirklich saugefährliche Kampfmaschine. In Ketten abführen ist da wirklich sicherer. :-o",nothing
Haben die Linken wohl eins auf die Fresse bekommen.,nothing
""" wir bienen Deutschland"" ???????????? bienen????",nothing
"Diese Forderungen sind alle zu 100% korrekt und notwendig. Sollte die Politik nicht bald was ändern, dann werden das andere übernehmen. Aber diesmal können sich die Verantwortlichen nicht aus der Affäre ziehen, das haben wir aus der letzten Wende gelernt. Im übrigen ist es egal wo es beginnt, auch wenn ihr im Fersehen ect. nichts über die Zustände in Europa zeigt, das ändert überhaupt nichts!",criticism
"Und die tat was der türke gemacht hat mit einem deutschem Komplizen ist grausam!!!! Er ist kein moslem kein türke kein mensch.er ist ein monster in mein Augen!!genau wie 1993 ein familienhaus in sollingen von rechtsradikalen in brand gesetzt wurden ist,wo daa jüngste opfer eone 3jährige war.das waren im mein augen auch Monster!!!",nothing
"Ja, wenn man dann selber betroffen ist,dann,,,,,,,,,,,,,,,,,,,,,,,,,",nothing
